placeName,imageURL,description,address,province,latitude,longitude,openingHours,category,touristType,contact,entranceFee,socialMedia,highlight,travelInfo
หมู่บ้านท่องเที่ยวไหมสนวนนอก,"https://source.unsplash.com/800x600/?ประวัติศาสตร์, ชุมชนท่องเที่ยว, วัฒนธรรม,บุรีรัมย์,thailand",หมู่บ้านไหมสนวนนอก เป็นแหล่งท่องเที่ยวเชิงวัฒนธรรมที่โดดเด่นของจังหวัดบุรีรัมย์ ซึ่งมีชื่อเสียงด้านการทอผ้าไหมแบบดั้งเดิมที่สืบทอดมายาวนานจากรุ่นสู่รุ่น นักท่องเที่ยวจะได้สัมผัสวิถีชีวิตของชาวบ้านที่ยังคงรักษาภูมิปัญญาท้องถิ่นไว้อย่างมั่นคง โดยเฉพาะการทอผ้าไหมมัดหมี่ที่เป็นเอกลักษณ์เฉพาะของชุมชน ที่นี่เปิดโอกาสให้ผู้มาเยือนได้เรียนรู้กระบวนการผลิตผ้าไหม ตั้งแต่การเลี้ยงไหม การสาวไหม การย้อมสีจากธรรมชาติ ไปจนถึงการทอผ้าด้วยกี่โบราณ พร้อมทั้งเลือกซื้อผลิตภัณฑ์ไหมแท้คุณภาพสูงในราคาย่อมเยาโดยตรงจากชุมชน นอกจากการทอผ้าไหม นักท่องเที่ยวยังสามารถเข้าร่วมกิจกรรมวัฒนธรรม เช่น การรำพื้นบ้าน การทำขนมพื้นถิ่น และการเรียนรู้ประวัติความเป็นมาของชาวอีสานใต้ได้อย่างลึกซึ้ง หมู่บ้านไหมสนวนนอกจึงเป็นจุดหมายที่เหมาะสำหรับผู้ที่ต้องการสัมผัสวิถีชีวิตเรียบง่าย เรียนรู้วัฒนธรรม และสนับสนุนการท่องเที่ยวโดยชุมชนอย่างแท้จริง,31000 บุรีรัมย์ ห้วยราช สนวน,บุรีรัมย์,14.9437425,103.1871605,เปิดทุกวัน เวลา 08.00 - 17.00 น.,,"ประวัติศาสตร์, ชุมชนท่องเที่ยว, วัฒนธรรม",08 5411 4435  09 4979 2887 kundanok.phetloet@gmail.com,nan,https://www.facebook.com/BanSanuanNokVillage/?locale=th_TH,เป็นชุมชนที่มีเสน่ห์เฉพาะตัว ด้วยการอนุรักษ์วิถีชีวิตแบบดั้งเดิมของชาวอีสานใต้ ผสมผสานกับวัฒนธรรมเขมรและลาว รางวัลอุตสาหกรรมท่องเที่ยวไทย ครั้งที่ 13 ปี 2564 ดีเด่น ประเภทแหล่งท่องเที่ยว,ตลอดทั้งปี มาตรการด้านความปลอดภัยและสุขอนามัย SHA
ชุมชนบ้านโคกเมือง,"https://source.unsplash.com/800x600/?ประวัติศาสตร์, ชุมชนท่องเที่ยว, วัฒนธรรม,บุรีรัมย์,thailand",ชุมชนบ้านโคกเมืองเป็นชุมชนที่มีประวัติศาสตร์ยาวนานและความเป็นมาทางวัฒนธรรมที่โดดเด่น โดยตั้งอยู่บนพื้นที่ดินภูเขาไฟซึ่งอุดมไปด้วยทรัพยากร ธรรมชาติที่เหมาะสมกับการเกษตรกรรมแบบยั่งยืน ชุมชนนี้เป็นที่รู้จักในเรื่องภูมิปัญญาท้องถิ่นที่สืบทอดกันมาอย่างยาวนาน โดยเฉพาะงานหัตถกรรมที่มีเอกลักษณ์ เช่น การทอผ้าฝ้ายหมักโคลน การทอผ้าไหมลายผักกูด รวมถึงการทอเสื่อกกที่มีลวดลายสวยงามและสะท้อนถึงวัฒนธรรมของชุมชน นอกจากนี้ ชุมชนบ้านโคกเมืองยังเน้นการดำรงชีวิตตามหลักปรัชญาเศรษฐกิจพอเพียง ปลูกข้าวหอมมะลิและพืชผักปลอดสารพิษ รวมทั้งแปรรูปสมุนไพรและผลิตภัณฑ์จากกะลามะพร้าวเพื่อสร้างรายได้และส่งเสริมความยั่งยืนทางเศรษฐกิจ ชุมชนยังคงรักษาและสืบสานประเพณีท้องถิ่นอันทรงคุณค่า รวมถึงการแสดงศิลปวัฒนธรรมพื้นบ้านอย่างรำบายศรีสู่ขวัญและระบำขอม ซึ่งสะท้อนให้เห็นถึงความเชื่อและจิตวิญญาณของชาวบ้านในท้องถิ่นอย่างลึกซึ้ง,31140 บุรีรัมย์ ประโคนชัย จรเข้มาก,บุรีรัมย์,14.4937131,102.9818313,ทุกวัน เวลา 09.00 - 16.00 น.,,"ประวัติศาสตร์, ชุมชนท่องเที่ยว, วัฒนธรรม",08 6721 1789 https://xn--12cfk3ee9b2e9azc6eta5f.xn--o3cw4h/,nan,https://www.facebook.com/bankokmuang/?locale=th_TH,ชุมชนเก่าแก่แต่โบราณ ชุมชนตั้งอยู่เป็นบริเวณที่มีความอุดมสมบูรณ์ เพราะเป็นดินภูเขาไฟ เกษตรกรจึงรวมกลุ่มตั้งเป็นกลุ่มผู้ปลูกข้าวหอมมะลิดินภูเขาไฟ รางวัล 10 สุดยอดชุมชนต้นแบบ “เที่ยวชุมชน ยลวิถี” ปี 2564 (กระทรวงวัฒนธรรม),ตลอดทั้งปี
ไร่องุ่นกราน-มอนเต้,"https://source.unsplash.com/800x600/?ธรรมชาติ,นครราชสีมา,thailand",ไร่องุ่นและโรงบ่มไวน์คุณภาพสูง ตั้งอยู่ในหุบเขาอโศก อำเภอปากช่อง จังหวัดนครราชสีมา บนพื้นที่กว่า 100 ไร่ ท่ามกลางสภาพแวดล้อมอันอุดมสมบูรณ์ใกล้เขาใหญ่ ซึ่งเหมาะสมต่อการปลูกองุ่นทำไวน์หลากหลายสายพันธุ์ ปัจจุบันไวน์ของกราน-มอนเต้ได้รับรางวัลระดับนานาชาติมากมาย และมีการส่งออกไปยังหลายประเทศนักท่องเที่ยวสามารถเยี่ยมชมไร่ผ่านโปรแกรมทัวร์ที่จะพาเดินชมแปลงองุ่น โรงบ่มไวน์ พร้อมชิมไวน์คุณภาพในบรรยากาศสบาย ๆ และเพลิดเพลินกับอาหารสไตล์ฟิวชั่นที่ร้านอาหาร VinCotto นอกจากนี้ยังมีที่พักในสไตล์คอทเทจ สำหรับผู้ที่ต้องการพักผ่อนใกล้ชิดธรรมชาติและเรียนรู้เรื่องไวน์อย่างเต็มที่ ไร่องุ่นกราน-มอนเต้จึงไม่เพียงเป็นจุดหมายด้านการท่องเที่ยวเชิงเกษตรและอาหารไวน์ แต่ยังเป็นแบบอย่างของการเกษตรสมัยใหม่ที่เชื่อมโยงกับการพัฒนาท้องถิ่นอย่างยั่งยืน,52 30320 นครราชสีมา ปากช่อง พญาเย็น,นครราชสีมา,14.5682082,101.2777871,"เปิดทุกวัน
ตารางเวลาทัวร์:
วันธรรมดา: 10:00 น., 11:30 น., 13:30 น., 15:00 น.
วันหยุดสุดสัปดาห์: เพิ่มรอบ 09:00 น. และ 16:00 น.
ช่วงฤดูท่องเที่ยว (พฤศจิกายน–กุมภาพันธ์): อาจมีรอบเพิ่มเติม
ไร่องุ่นและร้านค้า: เปิดทุกวัน เวลา 08:00–17:00 น.
ร้าน VinCotto: เปิดทุกวัน เวลา 09:00–18:00 น.",,ธรรมชาติ,092 806 7755 marketing@granmonte.com http://www.granmonte.com/contact-information.html,590.0 490.0 995.0 440.0,https://www.facebook.com/granmonte/ @granmontewines https://line.me/R/ti/p/%40ueo2046b,การผลิตไวน์ในสภาพภูมิอากาศแบบเขตร้อน ซึ่งเป็นความท้าทายที่ต้องใช้เทคนิคพิเศษในการปลูกองุ่นและการผลิตไวน์ รางวัลอุตสาหกรรมท่องเที่ยวไทย ครั้งที่ 13 ปี 2564 ดีเด่น ประเภทแหล่งท่องเที่ยว (การท่องเที่ยวแห่งประเทศไทย),nan
โรงไฟฟ้าลำตะคองชลภาวัฒนา,"https://source.unsplash.com/800x600/?นันทนาการ,นครราชสีมา,thailand",โรงไฟฟ้าพลังน้ำแบบสูบกลับใต้ดินแห่งแรกและแห่งเดียวของประเทศไทย ตั้งอยู่บริเวณเขื่อนลำตะคอง จังหวัดนครราชสีมา โรงไฟฟ้าแห่งนี้ใช้หลักการสูบน้ำจากอ่างเก็บน้ำเขื่อนลำตะคองขึ้นไปเก็บไว้ที่อ่างพักน้ำบนเขายายเที่ยงในช่วงเวลาที่มีความต้องการใช้ไฟฟ้าน้อย และปล่อยน้ำลงมาผ่านกังหันเพื่อผลิตกระแสไฟฟ้าในช่วงที่มีความต้องการใช้ไฟฟ้าสูงนอกจากบทบาทในการผลิตไฟฟ้าแล้ว โรงไฟฟ้าลำตะคองชลภาวัฒนา ยังเป็นแหล่งท่องเที่ยวและการเรียนรู้ด้านพลังงาน โดยมีศูนย์การเรียนรู้ กฟผ. ลำตะคอง ที่ให้ข้อมูลเกี่ยวกับพลังงานไฟฟ้าและนวัตกรรมต่าง ๆ ช่น ระบบ Wind Hydrogen Hybriซึ่งเป็นเทคโนโลยีการกักเก็บพลังงานไฟฟ้าจากกังหันลมในรูปของก๊าซไฮโดรเจนด้วยการผสมผสานระหว่างเทคโนโลยีการผลิตไฟฟ้าที่ทันสมัยและการส่งเสริมการท่องเที่ยวเชิงเรียนรู้ โรงไฟฟ้าลำตะคองชลภาวัฒนา จึงเป็นตัวอย่างของการพัฒนาพลังงานที่ยั่งยืนและเป็นมิตรกับสิ่งแวดล้อมในประเทศไทย,399 30130 นครราชสีมา ปากช่อง หนองสาหร่าย,นครราชสีมา,14.8038635,101.5542074,"โรงไฟฟ้าใต้ดิน: เปิดให้เข้าชมวันจันทร์ถึงศุกร์ เวลา 08:30–15:30 น.
อ่างพักน้ำตอนบนและทุ่งกังหันลม: เปิดบริการทุกวัน เวลา 06:00–18:00 น.",,นันทนาการ,0-4422-2570 ถึง 4 ต่อ 2589 prltk@egat.co.th https://www.egat.co.th/home/lamtakong-pp/#,nan,https://www.facebook.com/EGAT.Official,โรงไฟฟ้าใต้ดินแห่งแรกและแห่งเดียวในประเทศไทย และเป็นโรงไฟฟ้าพลังน้ำแบบสูบกลับแห่งแรกของประเทศไทย จุดเด่นของที่นี่คือ “เมืองใต้พิภพ” รางวัลอุตสาหกรรมท่องเที่ยวไทย ครั้งที่ 13 ปี 2564 ดีเด่น ประเภทแหล่งท่องเที่ยว (การท่องเที่ยวแห่งประเทศไทย),ตลอดทั้งปี มาตรการด้านความปลอดภัยและสุขอนามัย SHA
สวนสัตว์ขอนแก่น,"https://source.unsplash.com/800x600/?พิพิธภัณฑ์, สวนเกษตร, นันทนาการ,ขอนแก่น,thailand","สวนสัตว์ขอนแก่น ตั้งอยู่ที่ 88 หมู่ 8 ตำบลคำม่วง อำเภอเขาสวนกวาง จังหวัดขอนแก่น บนพื้นที่กว่า 3,338 ไร่ เปิดให้บริการเมื่อวันที่ 28 มิถุนายน พ.ศ. 2556 โดยมีวัตถุประสงค์เพื่อเป็นแหล่งเรียนรู้และอนุรักษ์พันธุ์สัตว์ป่าสวนสัตว์ขอนแก่น อยู่ในพื้นที่ ตำบลคำม่วง อำเภอเขาสวนกวาง จังหวัดขอนแก่น โดยมีพื้นที่คาบเกี่ยวกับพื้นที่ของป่าสงวนแห่งชาติ ในอำเภอโนนสะอาด จังหวัดอุดรธานี ซึ่งรวมแล้วมีพื้นที่กว่า 2,986 ไร่ ทั้งนี้ก็เพื่อไว้สำหรับก่อสร้าง อุทยานสัตว์ป่าอีสานตอนบน ขอนแก่น-อุดรธานี เพื่อการอนุรักษ์ทรัพยากรธรรมชาติ สัตว์ป่า รวมถึงเป็นแหล่งเพาะขยายพันธุ์สัตว์ป่าที่หายาก และเป็นสถานที่พักผ่อนหย่อน",40280 ขอนแก่น เขาสวนกวาง คำม่วง,ขอนแก่น,16.8451056,102.8966842,ทุกวัน เวลา 08.00 - 16.30 น,,"พิพิธภัณฑ์, สวนเกษตร, นันทนาการ",086 459 4192 khonkaenzoo@gmail.com https://khonkaen.zoothailand.org/?fbclid=IwY2xjawKc1BZleHRuA2FlbQIxMABicmlkETFLa2tLV3JtRFY4Sm1YVWJyA,130.0 40.0 350.0 120.0,https://www.facebook.com/Khonkaenzoo/?locale=th_TH https://www.instagram.com/khonkaenzoo?fbclid=IwY2xjawKc1C5leHRuA2FlbQIxMABicmlkETFLa2tLV3JtRFY4Sm1YV,รางวัลอุตสาหกรรมท่องเที่ยวไทย ครั้งที่ 14 ปี 2566 Hall of Fame (การท่องเที่ยวแห่งประเทศไทย),มาตรการด้านความปลอดภัยและสุขอนามัย SHA
อุทยานแห่งชาติผาแต้ม,"https://source.unsplash.com/800x600/?อุทยานแห่งชาติ, ธรรมชาติ,อุบลราชธานี,thailand","อุทยานแห่งชาติผาแต้ม ตั้งอยู่ในเขตอำเภอโขงเจียม จังหวัดอุบลราชธานี ครอบคลุมพื้นที่กว่า 340 ตารางกิโลเมตร เป็นหนึ่งในสถานที่ท่องเที่ยวที่มีความโดดเด่นทางด้านธรรมชาติ ประวัติศาสตร์ และธรณีวิทยาของประเทศไทย โดยเฉพาะอย่างยิ่งในฐานะ “จุดชมพระอาทิตย์ขึ้นแรกของไทย” ณ ผาชะนะได ที่มีทิวทัศน์สวยงามเหนือแม่น้ำโขงและเป็นที่นิยมของนักท่องเที่ยวที่ต้อง การสัมผัสแสงแรกแห่งวันใหม่ในบรรยากาศเงียบสงบของธรรมชาติ แต่ความพิเศษของผาแต้มไม่ได้มีแค่ความงามยามเช้าเท่านั้น ยังมีเสน่ห์ของประวัติศาสตร์โบราณที่รอให้คุณได้สำรวจ ด้วยภาพเขียนสีบนหน้าผาอายุเก่าแก่กว่า 3,000 ปี ที่ยังคงปรากฏลวดลายของชีวิตผู้คนในยุคก่อนประวัติศาสตร์เอาไว้ได้อย่างน่าทึ่ง บ่งบอกว่า พื้นที่แห่งนี้เคยเป็นแหล่งอารยธรรมมาก่อนอย่างน่าอัศจรรย์ นอกจากนี้ อุทยานยังได้รับการขึ้นทะเบียนเป็น “เขตอนุรักษ์ท้องฟ้ามืด” โดยสถาบันวิจัยดาราศาสตร์แห่งชาติ ทำให้ที่นี่เป็นหนึ่งในสถานที่ดูดาวที่ดีที่สุดในประเทศไทย ด้วยสภาพแวดล้อมที่ปลอดจากแสงรบกวน ทำให้สามารถมองเห็นท้องฟ้าและดวงดาวได้อย่างชัดเจน เหมาะสำหรับผู้ที่สนใจดาราศาสตร์ การถ่ายภาพทางดาราศาสตร์ และการเรียนรู้นอกห้องเรียน",34220 อุบลราชธานี โขงเจียม ห้วยไผ่,อุบลราชธานี,15.3987457,105.5075256,ทุกวัน เวลา 05.00 - 18.00 น.,,"อุทยานแห่งชาติ, ธรรมชาติ","045 252 581,045 252 582 phataem_np@hotmail.com https://portal.dnp.go.th/Content/nationalpark?contentId=957",40.0 20.0 100.0 200.0,https://www.facebook.com/pt074/?locale=th_TH,nan,มาตรการด้านความปลอดภัยและสุขอนามัย SHA
พิพิธภัณฑ์ไม้กลายเป็นหิน ช้างดึกดำบรรพ์ และไดโนเสาร์,"https://source.unsplash.com/800x600/?ประวัติศาสตร์, พิพิธภัณฑ์, วัฒนธรรม,นครราชสีมา,thailand",พิพิธภัณฑ์ไม้กลายเป็นหิน ช้างดึกดำบรรพ์ และไดโนเสาร์ เป็นศูนย์การเรียนรู้ทางวิทยาศาสตร์ด้านธรณีวิทยาและบรรพชีวินวิทยาที่สำคัญระดับประเทศ ตั้งอยู่ภายในมหาวิทยาลัยราชภัฏนครราชสีมา จังหวัดนครราชสีมา โดยมุ่งเน้นการอนุรักษ์ ศึกษา และเผยแพร่ความรู้เกี่ยวกับซากดึกดำบรรพ์ (Fossils) โดยเฉพาะไม้กลายเป็นหินที่มีขนาดใหญ่และสมบูรณ์ ซึ่งมีอายุหลายล้านปี เป็นหลักฐานสำคัญที่สะท้อนถึงการเปลี่ยนแปลงของสิ่งแวดล้อมโลกในอดีตภายในพิพิธภัณฑ์มีการจัดแสดงนิทรรศการถาวร ที่ครอบคลุมตั้งแต่ ฟอสซิลพืช ฟอสซิลสัตว์ ไปจนถึงโครงกระดูกของช้างโบราณและไดโนเสาร์ที่เคยมีชีวิตอยู่ในพื้นที่ประเทศไทย โดยใช้สื่อการเรียนรู้ที่หลากหลาย ทั้งแบบจำลอง 3 มิติ ระบบเสียงประกอบ และเทคโนโลยีอินเทอร์แอคทีฟ เพื่อกระตุ้นการเรียนรู้แบบมีส่วนร่วมและเข้าใจง่าย นอกจากนี้ยังมีกิจกรรมการเรียนรู้นอกห้องเรียน เช่น การจำลองการขุดค้นซากฟอสซิล การส่องกล้องจุลทรรศน์ และเวิร์กช็อปเชิงวิทยาศาสตร์ที่ออกแบบให้เหมาะกับทุกช่วงวัย โดยเฉพาะเยาวชน ซึ่งมีเป้าหมายในการปลูกฝังแนวคิดด้านวิทยาศาสตร์ สิ่งแวดล้อม และความสำคัญของการอนุรักษ์ทรัพยากรธรรมชาติ,184 มิตรภาพ - หนองปลิง บ้านโกรกเดือนห้า 30000 นครราชสีมา เมืองนครราชสีมา สุรนารี,นครราชสีมา,14.8580667,102.0270118,ปิดบริการ วันอังคาร - วันอาทิตย์ ตั้งแต่เวลา 09.00 - 15.30 น. (ปิดวันจันทร์),,"ประวัติศาสตร์, พิพิธภัณฑ์, วัฒนธรรม",080-165-1070 museumtour184@gmail.com https://www.khoratfossil.org/khoratfossil/index.php/th/,60.0 20.0 150.0 70.0,https://www.facebook.com/koratfossil/?locale=th_TH,อุทยานธรณีโลก (UNESCO Global Geopark) แห่งที่ 2 ของประเทศไทย ปี 2566 (UNESCO),มาตรการด้านความปลอดภัยและสุขอนามัย SHA
สวนเสาวรสเทพสถิต (ไร่ร่มไม้),"https://source.unsplash.com/800x600/?นันทนาการ, ธรรมชาติ,ชัยภูมิ,thailand",ไร่ร่มไม้ หรือ สวนเสาวรสเทพสถิต ตั้งอยู่อำเภอเทพสถิต จังหวัดชัยภูมิ อยู่ไม่ไกลจากอุทยานแห่งชาติป่าหินงาม เป็นสวนเสาวรสไร้สาร บรรยากาศร่มรื่น มีผลิตภัณฑ์แปรรูปจากเสาวรส และผลไม้จากสวนจำหน่าย เช่น แยมเสาวรส น้ำเสาวรส แยมลูกหม่อน (มัลเบอร์รี่) และผลเสาวรสสดๆจากสวน,239 - - 36230 ชัยภูมิ เทพสถิต บ้านไร่,ชัยภูมิ,15.6603243,101.4188427,เปิดทุกวัน เวลา 09.00 - 17.00 น.,,"นันทนาการ, ธรรมชาติ",081 802 9741 suchai_p@yahoo.com,nan,https://www.facebook.com/passionfruit741/?locale=th_TH,nan,nan
พระธาตุชัยภูมิ,"https://source.unsplash.com/800x600/?ศาสนสถาน, ประวัติศาสตร์, วัฒนธรรม,ชัยภูมิ,thailand",พระธาตุชัยภูมิ หรือ พระมหาเจดีย์สิริชัยภูมิ ตั้งอยู่บนยอดเขาช่องลม บ้านภูสองชั้น อำเภอแก้งคร้อ จังหวัดชัยภูมิ องค์พระธาตุมีความโดดเด่น สร้างแบบโบราณผสมผสานระหว่างศิลปะล้านช้างและศิลปะล้านนาเข้าด้วยกัน องค์พระธาตุประดิษฐานพระบรมสารีรีกธาตุ ลักษณะเป็นเจดีย์ทรงปราสาทเรือนยอด องค์พระธาตุมีความสูง 21 เมตร มีมุมชมวิวรอบพระธาตุ เป็นสถานที่ที่เงียบสงบ เหมาะสำหรับปฏิบัติธรรม นั่งสมาธิ,- - - 36150 ชัยภูมิ แก้งคร้อ เก่าย่าดี,ชัยภูมิ,16.0279236,102.0734863,เปิดทุกวัน เวลา 08.00 - 18.00 น.,,"ศาสนสถาน, ประวัติศาสตร์, วัฒนธรรม",- -,nan,https://www.facebook.com/PhraThatChaiyaphum/?locale=th_TH,ตั้งอยู่บนยอดเขาช่องลม เงียบสงบ เหมาะสำหรับปฏิบัติธรรม นั่งสมาธิ,nan
สวนรุกขชาติน้ำผุดทัพลาว,"https://source.unsplash.com/800x600/?สวนเกษตร, ธรรมชาติ,ชัยภูมิ,thailand",สวนรุกขชาติน้ำผุดทัพลาว ตั้งอยู่บ้านผาเบียด อำเภอคอนสาร จังหวัดชัยภูมิ ภายในสวนรุกขชาติ มีน้ำผุดทัพลาว ซึ่งเป็นตาน้ำธรรมชาติ มีน้ำไหลเป็นธารตลอดปี น้ำใสสะอาด แอ่งน้ำขนาดเล็กบ้างใหญ่บ้างสามารถลงเล่นน้ำได้ ล้อมรอบด้วยป่าเบญจพรรณ มีบริการร้านอาหาร และร้านจำหน่ายสินค้าที่ระลึก อัตราค่าบริการในการนำยานพาหนะเข้าไปในสวนรุกขชาติ 1. รถยนต์ - รถยนต์ 4 ล้อ อัตราค่าบริการ 30 บาท/คัน - รถยนต์ 6 ล้อ อัตราค่าบริการ 100 บาท/คัน - รถยนต์มากกว่า 6 ล้อ แต่ไม่เกิน 10 ล้อ อัตราค่าบริการ 200 บาท/คัน 2. รถจักรยานยนต์ อัตราค่าบริการ 20 บาท/คัน,- - - 36180 ชัยภูมิ คอนสาร ห้วยยาง,ชัยภูมิ,16.5447411,101.8521325,เปิดทุกวัน เวลา 08.00-16.30 น.,,"สวนเกษตร, ธรรมชาติ",062 198 2177 numphuddnp.01@gmail.com,20.0 10.0 100.0 50.0,https://www.facebook.com/Numphud/,nan,nan
